Genes,BB9,BB10,BB17,BB19,BB20,BB21,BB11,BB12,BB18
argU,8.457007,8.986121,9.915878,9.582795,9.879542,9.125282,8.815652,7.114669,8.347223
argW,8.23785,8.953498,9.967702,9.022318,8.810125,8.61953,7.041769,6.337033,6.948566
argX,7.524879,7.785008,8.284301,8.461336,8.544107,8.127865,7.425484,7.183576,7.713112
arrS,5.809955,5.960071,6.886745,5.55462,5.197,4.794728,6.525286,6.18295,5.099842
asnV,7.328756,7.200634,7.086784,6.955278,7.643863,7.182216,7.349852,7.639464,7.050643
azuC,5.363732,5.218355,5.404631,5.723695,4.872829,5.440985,5.373822,5.341025,6.049522
bdcA,5.642528,5.889741,5.558053,5.535742,5.855392,6.018679,6.127468,6.710627,6.357587
bdcR,6.625899,6.626512,6.487776,6.547311,7.000124,6.869982,6.624247,6.903255,7.074291
bepA,7.722364,7.787223,8.325382,8.310776,8.285407,7.498075,7.759795,6.600627,7.328881
bluF,5.334962,5.458415,5.17716,5.090853,5.615534,5.619794,5.164143,5.137708,5.256935
bluR,6.850912,6.715962,6.952951,7.200241,7.135289,6.564271,6.309686,5.814858,6.071934
cbdA,5.636335,5.572829,5.253536,5.474663,5.639001,5.241039,5.136643,5.656268,5.443176
cbdB,5.682938,5.667779,5.397187,5.052112,5.46444,5.2262,5.379205,5.593682,5.308339
cbdX,5.61865,4.764951,5.835495,5.955917,4.315421,4.943781,4.854993,5.723586,5.988207
cbeA,5.076303,4.931116,5.009213,4.768608,4.548437,5.46444,5.419438,5.617681,5.176123
cbtA,5.421627,5.097569,4.723995,4.540647,4.665961,5.233275,5.542227,5.901977,5.601845
chiX,5.388224,5.062035,4.850199,3.452068,5.108399,5.086062,5.456412,4.865374,4.904773
chrR,6.980014,6.879448,7.321685,7.37497,7.580741,7.257539,7.138006,7.003085,7.28677
citA,5.87071,5.918911,5.666132,5.446058,5.42908,6.200497,5.752213,6.076965,5.902267
citB,6.273497,6.546323,6.317033,6.225699,6.231029,6.159569,6.247149,5.944976,6.01116
clsA,6.300435,6.35237,6.735184,6.442711,6.629094,6.061517,5.732025,5.376603,5.739902
clsB,5.304182,5.499463,4.933148,5.50846,6.04732,5.645385,5.528259,5.581321,5.722138
clsC,5.650966,5.927114,5.689551,6.440902,6.385655,6.262809,5.756249,5.547882,5.545598
cptA,6.616064,6.871055,7.287445,7.160658,6.81555,6.801909,6.999594,6.714479,6.869366
cra,6.402466,6.304694,6.804944,6.488049,6.624145,6.198612,6.983256,6.280307,6.474679
crfC,6.397512,6.393622,6.144414,6.161868,6.146166,6.324631,6.45971,6.855167,6.604813
csrC,7.536947,7.694421,7.67535,9.079562,8.779972,8.493235,10.375528,9.338748,10.055052
curA,5.830027,5.791345,5.531038,7.024962,7.447001,7.06794,6.211032,6.111282,6.107583
cyaR,6.874047,6.979065,7.8618,7.376204,7.272639,6.489623,8.199137,6.450848,7.004086
cydX,6.452908,6.564195,6.918183,4.989729,5.781176,5.660951,4.740658,5.324055,5.238252
cysT,9.270365,9.461003,10.351602,10.284408,10.17194,9.897413,9.578276,8.363026,9.246154
dauA,5.774234,5.675308,5.505986,5.401426,5.435995,5.39242,5.140656,5.164947,4.889181
dgcZ,5.95687,5.893605,5.871573,5.321856,5.373718,5.831497,5.800952,6.099127,5.78508
dinQ,6.075361,6.642774,6.401426,6.100494,5.679367,5.770089,6.084426,6.618283,5.919364
dsbE,5.6379,5.509284,4.811677,5.655295,5.11782,5.775156,5.723149,5.912051,6.169023
dsrA,4.272471,5.084745,4.801366,3.117861,3.714575,4.977463,4.755582,4.954289,5.315784
dtpC,6.239742,6.462069,6.084957,6.058598,6.273348,6.564119,6.687943,6.751437,6.698719
ecpA,6.057385,6.005153,5.809312,5.773363,5.451838,6.039073,6.263748,6.338139,6.302063
ecpB,5.948881,5.754994,5.650046,5.684847,5.012658,6.063632,6.044984,6.14321,6.071484
ecpC,6.064667,6.054262,5.723886,5.611202,5.957148,6.217366,6.139265,6.457955,6.074398
ecpE,5.973588,6.123356,6.236397,5.812883,5.798647,6.274951,5.61418,6.293518,5.984999
ecpR,6.271706,6.184994,5.218277,5.649156,5.502617,6.040432,6.391802,6.377627,6.116136
epmA,6.632123,6.777393,6.846205,6.728601,6.740293,6.943816,7.153967,6.967538,7.029033
epmB,6.682658,6.679494,6.712293,6.795338,6.781858,6.930655,6.882325,7.031406,7.001329
epmC,6.106683,6.29234,6.629167,6.372499,6.567682,6.005916,5.962942,5.869008,6.075896
eptC,6.938439,6.881077,7.562303,7.184984,7.126622,6.539609,6.804079,6.464472,6.57195
esrE,5.319546,5.202339,5.500324,5.984453,5.698885,4.985409,5.871449,5.725523,6.176283
eyeA,4.719512,5.292966,5.683023,5.360821,5.650793,4.989593,5.68069,5.750017,5.407319
fau,6.504684,6.723108,6.874539,6.464848,6.402688,6.55623,6.561326,6.727022,7.027552
fetA,6.992666,7.189439,7.235191,6.970716,7.097158,6.98022,6.622696,6.606931,6.794624
fetB,6.179173,6.375265,5.951728,5.613974,5.930099,6.419809,6.095481,6.481961,6.058728
ffs,6.59616,6.683654,6.820843,7.328468,6.287842,6.357077,7.870864,6.750486,7.076206
flc,6.556123,6.875375,7.056638,7.987304,7.503357,7.0478,6.224581,6.189291,6.721291
fnrS,4.961531,5.375561,5.063676,3.877057,4.672708,5.986911,5.171527,5.873838,4.949815
frwA,5.562212,5.279843,5.366987,5.481137,5.422637,5.487293,5.888962,6.266974,5.987184
gadY,6.209492,6.069895,6.189152,7.203309,7.480071,7.146299,6.263748,6.670996,6.699815
gcvB,8.733985,9.237542,9.770666,9.546661,9.043659,8.834098,9.396622,8.208044,8.94152
glmY,5.643596,5.186976,4.217231,6.520265,6.23936,5.795923,6.761671,5.674348,5.828175
glmZ,7.335944,7.366619,8.349011,8.592274,8.123138,7.884054,8.872509,7.492318,7.76205
glnU,9.537993,9.749236,10.821575,9.78998,9.345439,8.977517,8.22594,7.447951,7.701805
glnV,7.518291,7.648343,8.087845,7.622125,7.261277,7.041889,7.525818,6.66269,7.557487
glsA,6.212414,6.255444,5.687145,6.633707,6.797882,6.480621,6.645212,6.451706,6.493007
glsB,6.109966,6.009974,6.25735,5.847646,5.773152,6.158882,5.675082,6.008339,6.195781
gluQ,6.120974,6.03569,6.600968,6.919102,6.942327,6.668147,6.522997,6.105929,5.945795
glyU,5.755822,5.976249,5.949115,5.725796,6.549731,5.321279,6.552792,6.218219,6.020413
gmhA,8.043667,7.869409,8.43557,8.190412,8.380608,7.311376,6.993029,6.334747,7.455903
grcA,5.834206,5.456379,5.850299,6.03091,6.317792,5.867724,6.651583,5.7703,6.54765
gstA,6.402313,6.597948,6.553468,7.413924,7.667253,6.790173,6.4572,6.140063,6.675745
gstB,6.53964,6.497357,7.163146,6.780992,6.229722,6.823456,6.367161,5.790876,6.280288
hisR,7.689767,7.603686,8.36831,8.620902,8.127417,8.056573,7.916339,7.479538,8.362689
hldD,8.270179,8.480814,8.970949,8.890535,8.763929,8.207439,8.596015,7.610678,8.31437
hldE,7.064161,7.076057,7.517063,6.822539,6.65924,6.428461,6.924468,6.848848,7.002399
hypT,6.789195,6.822297,6.920543,6.676592,6.798297,6.548622,6.962422,6.916512,7.112189
ibaG,7.915742,8.129056,8.716998,8.136422,8.043071,7.422822,6.862662,6.832371,7.181272
ileX,5.578878,5.471122,6.072213,3.826701,5.158256,5.586915,5.693041,6.071784,5.810392
ileY,5.15765,4.378095,2.519793,4.377332,2.989502,5.540616,5.307501,5.176043,5.388672
insB1,8.832646,9.012672,9.131178,8.925563,8.998554,9.055046,8.58876,8.789315,9.014344
insC1,8.79438,8.78075,8.77481,8.781648,8.590202,8.753711,8.961244,8.973901,9.007204
insE1,8.377406,8.227467,8.235813,8.028171,7.990053,8.271841,8.039358,8.355946,8.311299
insF1,8.168943,8.188203,7.68376,7.944173,7.92594,8.298374,8.039451,8.413878,8.282945
insI1,7.657819,7.685758,7.867569,7.539438,7.927304,7.872065,7.779043,8.129628,7.797409
insL1,7.67106,7.746494,7.687425,7.515022,7.584,7.886575,7.677473,7.880043,7.856731
isrC,5.728002,8.069197,5.377436,4.721701,8.034557,5.53135,5.464113,7.189439,5.394686
ldrB,5.132083,4.338781,3.662319,4.171127,4.572708,4.550654,3.660153,4.893265,4.555877
ldrC,6.134858,6.029872,6.704388,5.566937,4.842074,5.378477,4.691311,6.046862,5.485169
ldrD,6.624393,7.048007,6.60912,7.178436,7.000124,7.094711,7.754787,7.172987,7.679086
ldtA,5.629502,5.39496,5.527414,5.645586,5.942632,6.012725,5.859199,5.751116,6.00331
ldtB,7.353367,7.614091,8.198818,7.910541,7.812428,7.026999,6.266674,6.004142,6.410579
ldtC,6.532442,6.395149,6.884366,5.802633,5.834509,5.637089,5.69092,5.557961,5.489286
ldtD,6.280177,6.282959,6.624233,7.107081,7.279425,6.682461,5.975286,5.850849,6.1932
ldtE,5.771727,5.379517,4.932534,6.588655,6.222438,6.171307,5.782566,5.7289,6.004389
leuP,7.595616,7.920377,9.028274,8.437253,8.139418,7.990495,7.785734,7.39496,7.51353
leuQ,9.584722,9.724174,10.622793,10.389395,10.166351,9.701436,9.597414,9.24315,9.750663
leuU,5.591709,5.76874,5.930075,5.919459,4.658611,5.683668,5.75462,5.71518,5.198651
leuW,8.216785,8.408508,9.061763,8.817188,8.213644,7.577784,7.169805,6.484009,7.350091
leuX,5.944858,6.399752,6.7392,5.756596,6.868662,6.683851,6.862662,6.311013,5.557747
leuZ,4.759103,6.027353,6.069874,5.964514,6.318949,6.531584,5.502044,6.18295,5.830737
loiP,6.593623,6.63574,6.447629,6.73372,6.68902,6.569111,6.981225,6.774932,6.937792
lpoA,7.532512,7.636806,8.307233,8.12885,8.086094,7.405303,7.52284,6.890349,7.339262
lpoB,7.062553,7.319943,8.076987,8.617927,8.551458,7.768932,7.233562,5.941576,6.851774
mcaS,5.822042,5.672284,5.973749,6.789586,6.35055,5.78364,5.508746,5.566267,5.480104
menI,5.602736,5.633082,5.788712,5.672256,6.007353,5.439357,5.880686,5.835722,5.887379
mepH,7.067854,7.215018,7.94614,7.296494,7.427271,6.876726,6.549284,5.910709,5.983336
mepM,6.450271,6.463181,6.414711,6.430151,6.134529,6.212842,6.059636,5.939509,6.233696
mepS,7.765707,7.935678,8.439565,8.051383,8.004968,7.671661,6.989832,6.560272,6.686529
metY,5.905255,5.804492,6.053633,6.344704,6.254915,6.127881,7.165952,6.418662,6.824195
mgrR,5.444601,5.744968,4.834812,4.636045,4.243745,5.587845,5.303379,5.000992,4.527446
micA,5.360891,5.634448,5.244354,5.381733,5.526476,5.875117,5.007375,5.363066,4.195663
micC,5.488065,5.829393,4.2598,5.405312,4.744968,6.23076,4.917527,5.23362,5.255161
micF,4.739632,4.59144,3.127303,2.199437,3.831573,4.690082,5.634303,5.467801,4.510646
mlc,6.102238,6.218277,6.505954,6.751116,6.770393,6.605717,6.483638,5.967929,6.444634
mnaT,6.195938,6.220485,6.584722,6.911895,6.835103,6.834951,5.936426,6.062942,5.903086
mnmH,6.347276,6.233658,6.139592,6.131548,6.069724,6.348852,6.049195,6.294363,6.323784
mntP,5.743111,5.530757,5.228472,5.649702,5.598574,5.76874,5.493583,5.679762,5.783954
mntS,5.452299,5.37636,6.144352,5.612205,4.888938,5.457266,5.518346,5.070947,5.274634
mscK,6.314171,6.36814,6.06415,5.937933,5.970532,6.266749,6.08899,6.366899,6.155365
msrC,8.053882,8.059761,8.669144,9.147815,9.02267,8.534462,7.472179,6.678579,7.336596
nnr,6.307374,6.142516,5.90511,7.124783,7.142648,6.790785,6.62394,6.662462,6.619574
ohsC,4.08134,4.757503,3.664824,3.566572,4.575252,4.553238,3.697551,4.893071,4.069874
omrA,4.919674,5.68566,4.888646,5.056237,5.208361,5.809183,3.635754,5.792803,5.299721
omrB,5.396776,5.481557,5.339636,5.311358,4.182454,5.61008,5.352829,5.612795,5.656411
oxyS,4.735739,3.809929,4.366462,4.74513,4.732269,5.315131,4.621876,5.770829,4.368419
panM,6.472975,6.598231,5.952077,6.261098,5.994172,6.272826,6.685632,6.903942,6.469609
patD,5.672538,5.674376,5.242869,6.33689,6.15674,6.286992,5.619853,6.072256,5.977669
pfo,6.706973,6.746111,7.006163,8.149132,8.082963,7.442645,7.148629,6.440354,7.179372
pgpC,5.852748,5.843733,6.094384,6.355809,6.220175,6.330272,6.083618,5.764288,5.908477
pgrR,6.208927,6.277427,6.740793,6.593832,6.726981,6.485282,6.003265,5.891079,6.004726
pheU,6.681801,6.798051,6.544192,6.016675,6.511674,6.548622,6.769309,7.186392,6.929613
pka,6.24899,6.224754,7.061636,7.079175,6.89523,6.531288,6.865869,5.715921,6.24123
plaP,6.652931,6.762668,7.345592,6.02879,6.054827,6.106935,5.883596,5.841294,5.955406
pmrR,4.953219,4.011048,3.458776,5.509316,4.825582,4.338496,4.759049,5.091573,5.210778
pncC,6.305022,6.367389,6.612087,6.603982,6.855105,6.721044,6.139838,6.103665,5.961693
pqiC,5.49991,5.569461,5.532878,5.346602,4.76511,5.302392,5.501057,5.517591,5.188203
preA,5.950118,6.003895,6.061647,6.258387,6.413306,6.537001,6.116011,6.158559,5.999391
preT,6.032101,6.204258,6.303379,6.768171,6.461889,6.526272,6.22903,6.204923,6.225641
prlF,7.486288,7.519628,8.109711,8.169304,8.207859,7.526546,7.43781,6.991125,7.032321
proK,6.183387,5.804492,6.053633,5.472195,3.878137,6.356144,5.978402,6.209102,6.352723
proL,4.590662,4.600389,3.664824,4.868094,5.396125,6.217754,5.404835,5.310522,4.94645
proM,4.683023,4.943453,5.504461,3.809106,4.575252,4.24656,5.367301,6.201301,5.370269
psrO,6.166655,5.311031,4.690194,5.40204,4.872829,5.808385,6.414525,6.329447,5.663999
queE,6.345219,6.15265,6.671506,6.00322,6.019146,6.576492,6.543852,6.670996,6.120393
queG,6.67118,6.755902,6.893508,7.844825,7.782736,7.334738,7.163378,6.845804,7.155112
ratA,5.753952,5.442977,5.34355,4.841319,5.324811,5.072792,5.408406,5.579029,5.93878
ratB,5.533127,5.54043,5.808025,5.05085,5.353535,5.373126,5.004906,5.505478,4.652314
rayT,6.068757,6.00009,6.368908,5.790329,6.536286,5.477645,6.338959,6.104966,5.837136
rcbA,5.466529,5.305496,4.310922,4.540647,5.334854,5.454768,5.126312,5.768714,5.564683
rcdA,5.802529,5.638769,5.444601,5.073135,5.559981,4.766277,5.727321,5.525505,5.616564
rclA,6.300691,6.201791,5.607626,6.193555,6.325135,6.31428,6.339226,6.596011,6.103665
rclB,6.131013,5.905447,6.236397,5.80684,5.072492,5.962179,6.306736,6.22853,5.914014
rclC,6.188935,6.275361,5.871573,5.523499,5.551208,6.116386,5.822679,6.449347,6.104169
rclR,6.212492,6.11445,6.103456,6.164485,6.193693,6.256256,6.175365,6.45098,6.091044
rcnB,6.374048,6.165711,6.415911,6.388672,6.232354,6.044635,5.823571,5.866413,5.667495
rdlC,5.064538,5.499686,4.286955,5.782592,5.314443,5.26044,5.580176,5.58394,5.348516
rdlD,5.355862,5.7008,5.864087,5.887915,4.642759,5.692092,4.916954,6.451903,6.18307
ridA,7.403251,7.539965,8.319464,8.258269,8.054892,7.80364,8.246954,7.103099,7.945245
rlmC,6.067187,6.141658,5.941341,5.674037,5.500706,5.670132,5.810906,5.830813,5.740658
rlmD,7.013998,7.121098,7.772407,7.423301,7.388379,6.977807,7.067542,6.811818,6.886038
rlmJ,7.006635,7.037316,7.261004,7.011406,6.938074,6.899623,7.103498,7.095175,7.218704
rnlB,6.618488,6.310613,7.344624,8.726477,8.7395,8.141244,7.366637,6.122693,7.174756
roxA,6.201242,6.185133,6.56447,6.436495,6.563356,6.162915,5.707332,5.571525,5.773838
rprA,4.522495,5.353041,4.725741,2.518031,4.598544,5.248345,4.137995,4.9331,4.727703
rrfA,6.825569,6.897216,7.657533,8.321004,7.146584,7.671626,8.261841,7.064085,7.492214
rrfC,8.155441,8.50286,8.957874,9.860379,8.497916,9.105924,9.877272,8.531428,9.456443
rrfF,6.913811,7.534964,8.495175,8.486936,8.337234,7.691897,8.463716,6.856737,7.510155
rrlD,5.502171,5.78453,6.222341,5.827819,5.517685,5.189113,5.317594,3.643279,5.182613
rrrD,6.280103,6.112346,5.171687,5.955406,6.48033,6.854133,6.302502,6.208439,6.041133
rrrQ,5.311031,5.474566,5.600091,4.955685,5.230972,5.620176,5.284884,5.815601,5.236186
rseX,3.855691,4.874748,2.793064,3.971406,2.28244,5.377644,4.839607,5.689802,5.686164
rsfS,7.420154,7.611991,8.428038,7.598388,7.115855,7.056117,6.817124,6.241192,7.0978
rsmJ,6.490698,6.52422,6.206995,6.515952,6.506462,6.656911,6.764925,6.925406,6.889254
rspR,6.593906,6.713696,6.609341,6.876222,6.663145,6.716072,5.990751,6.164183,6.269052
rttR,6.140983,6.096894,6.002883,5.289097,5.922412,6.368891,5.76633,5.980368,6.074227
rybB,5.135617,5.768184,4.426063,4.468974,5.103959,5.229396,4.726014,5.184796,4.990456
rydB,4.899997,3.236952,3.830762,1.789521,3.503985,4.527258,4.61005,4.986775,5.276385
rydC,6.026712,6.427388,6.415066,4.058403,3.881567,6.002297,5.549669,5.585624,4.322144
ryeA,5.74028,6.019435,5.823647,5.923862,5.551762,5.799113,7.184022,6.404954,6.911584
ryfA,5.438293,5.424385,5.595325,5.282329,5.665336,5.598276,5.605879,5.328908,5.833067
ryfD,5.770908,6.19251,6.476868,7.746736,7.436062,6.759116,7.527227,5.703461,6.53389
ryhB,6.429097,5.865622,5.976616,6.268715,5.176801,5.598008,6.184141,6.7658,6.578788
ryjA,5.731265,5.556153,5.746555,6.338906,6.131116,6.505192,6.56984,6.268902,6.564149
ryjB,5.977349,5.865622,5.043738,6.788072,6.341897,5.843255,6.16555,6.255614,6.305132
rzoQ,5.043651,4.761604,4.515511,3.250507,4.344118,5.38284,4.934705,5.394548,5.421661
satP,6.406282,6.379344,6.602068,6.889437,6.550562,6.792998,6.845227,6.447513,6.783352
sdhE,7.405797,7.695715,8.400538,7.965882,8.167498,7.427388,8.14422,7.092599,7.64676
selC,6.208283,6.255595,6.151209,6.19174,4.417042,6.276478,6.107248,6.647271,6.788229
serT,5.466105,5.516393,5.457266,5.903255,5.425157,5.237028,5.545999,5.123045,4.161162
serU,9.128528,9.341852,10.045077,9.084806,8.26576,8.23977,6.886904,6.63819,6.920222
serV,9.672395,9.908028,10.823176,10.520186,10.16595,9.324644,8.847568,7.149686,8.79966
serX,6.461136,6.814076,6.95034,6.69364,6.265662,6.634303,6.422452,6.049957,6.364292
sfmZ,6.080018,6.089752,5.720525,5.098158,5.415252,6.085297,5.771595,6.453567,5.910061
sgbE,6.519621,6.421341,6.019012,6.355563,6.054045,6.594817,6.311085,7.052046,6.704429
sgbH,6.367668,6.371419,6.580553,5.831295,5.59141,6.280771,6.210915,6.872386,6.849749
sgbU,6.808707,6.647574,6.344136,5.983723,6.30049,6.65784,6.805873,7.067994,6.910217
sgrS,6.03481,6.249938,5.859622,6.918327,6.872927,6.710049,7.622594,6.461398,6.748931
sgrT,4.291456,4.667949,4.674348,5.37497,4.480071,5.096641,5.545999,5.291051,5.676973
shoB,4.612883,4.91576,3.840665,3.499782,4.869131,5.302392,4.905688,4.951868,4.606205
sibA,5.275603,4.730531,5.179033,3.371001,4.87209,5.424889,5.794754,5.506272,5.777762
sibB,5.568093,5.095249,5.88772,4.929791,5.001532,6.394823,5.443839,5.942843,5.873518
sibC,6.151412,5.617592,5.909653,5.894066,5.995665,5.120684,5.899055,6.489206,5.994082
sibD,8.012865,8.147373,8.629568,8.572393,8.416396,7.730681,8.098822,7.549962,8.245011
sibE,6.434712,6.202496,5.619002,5.844712,5.344509,5.971681,6.679888,6.297118,5.951937
smrA,6.351823,6.573541,6.914373,6.263523,6.543743,6.310267,5.833624,5.807149,6.00027
smrB,6.06102,6.298933,6.517417,6.869242,6.520391,6.216649,6.72694,6.138077,6.366637
spf,4.686725,4.228434,4.489158,4.158579,4.559981,4.937344,5.090303,5.23362,4.688964
srkA,7.054197,6.804196,7.293279,6.40279,6.786609,6.18547,6.487792,6.308885,6.637697
srlM,7.18434,7.341443,7.912213,5.949278,5.774418,6.173027,5.239856,6.040651,5.887038
srlQ,6.518047,6.326843,6.718348,5.48388,5.131096,5.907059,5.95217,6.009414,6.001982
sroH,5.383843,4.645413,5.680521,5.833674,4.930359,6.211441,5.940002,5.576824,5.634593
symR,4.08134,5.183963,5.576855,4.756703,4.575252,5.020991,5.44145,5.52563,5.242336
tamA,6.469186,6.492959,6.365448,6.903171,6.949722,6.818378,6.686459,6.75821,6.869847
tamB,6.082277,6.107667,5.998263,6.192293,6.266299,6.434662,6.405975,6.627797,6.652931
tcdA,6.126064,6.283033,6.398846,6.149097,5.944437,6.474663,5.958332,6.690487,6.476965
thrT,7.905874,8.084899,8.190704,8.746937,8.760594,7.884641,7.407225,6.155952,7.52462
thrV,6.588115,6.182593,6.615593,6.242888,6.747428,6.265137,6.840451,5.605228,4.087633
trmN,5.422166,5.400982,5.859125,4.792387,5.42425,5.151899,4.921389,5.390427,5.131631
trpT,8.46597,8.33278,9.353976,9.48256,9.397386,8.075361,9.703374,7.895921,9.348177
tsaA,5.822858,5.459464,5.530851,5.39424,5.68437,5.73647,5.30294,5.320087,5.197354
tsaB,6.044875,6.170286,6.457069,5.697218,5.708546,5.711302,5.712183,5.490089,5.989048
tsaC,6.494192,6.475944,6.918183,7.248108,7.664973,6.536457,6.704277,6.071248,6.10186
tsaD,6.298475,6.349383,6.285495,5.890471,6.233236,6.188183,6.603181,6.69662,6.838032
tsaE,6.154109,6.188737,5.87369,6.203201,5.916047,6.564637,6.320521,6.675689,6.495183
tusA,7.625183,7.680402,8.671141,7.752146,7.09622,6.930915,7.020124,6.991,7.08299
tusB,6.744807,6.301112,6.817905,7.684805,7.43118,6.958831,7.918774,6.765521,6.773258
tusC,6.156821,5.810417,6.107855,6.328244,6.306718,5.944343,6.251833,6.306262,6.397957
tusD,6.31457,6.416282,6.753899,6.934257,6.961195,6.221954,5.818825,6.34662,6.357675
tusE,6.177041,5.724678,5.692176,6.312248,6.622389,6.316001,5.622374,5.562212,5.550347
tyrT,9.061066,9.346011,9.993094,9.091174,8.568412,8.346239,7.422906,6.424586,7.854956
uacT,6.151412,6.2488,6.026645,5.821965,5.775209,6.340384,6.234118,6.767046,6.517984
ubiI,6.801702,6.804234,7.089562,6.748314,6.912099,6.433961,6.880771,6.837805,6.944987
ubiJ,5.818978,5.178993,5.858056,6.231797,6.112638,5.323118,6.60186,5.998579,6.207815
umpG,6.319491,6.349896,6.673203,6.676451,6.572314,6.391991,6.3491,6.486377,6.558849
umpH,7.262377,7.427472,8.143128,7.342395,7.270912,6.784726,6.503365,6.273199,6.876087
uof,9.548516,9.605676,10.357673,10.595006,10.228446,9.890701,9.833572,8.328657,9.047367
valW,4.890933,5.220446,4.461332,3.274709,4.707249,5.265399,4.576522,4.519479,3.910637
waaB,6.912446,7.018055,6.548791,6.632588,6.763332,6.801909,7.03769,7.222718,6.856226
waaC,7.469528,7.438351,7.664213,7.807915,7.741797,7.520218,7.214902,7.117238,7.253583
waaF,7.573867,7.601518,7.871505,7.544748,7.57594,7.207454,7.199142,7.278412,7.414372
waaG,7.680029,7.570258,7.763,7.6713,7.521522,7.21819,7.277576,7.277706,7.27712
waaH,6.866797,6.834079,6.808359,6.038348,6.187332,6.59141,6.890848,7.178605,6.901446
waaJ,6.877904,6.940836,7.098474,6.56421,6.809787,6.798051,7.122051,7.268182,6.876848
waaL,8.472309,8.777508,9.266107,9.514252,9.538511,8.740914,9.136476,7.746776,8.131204
waaP,7.222157,7.260562,7.596495,7.29809,7.243345,6.830141,7.423645,7.218055,7.24676
waaQ,7.411189,7.582044,7.642868,7.732011,7.736219,7.255888,7.55891,7.388594,7.350091
waaR,8.342879,8.426583,9.054604,9.268678,9.304641,8.566709,8.970698,7.777361,8.366082
waaS,6.367476,6.771067,6.444816,6.568017,6.357182,6.666657,7.207268,7.224532,6.864124
waaY,7.177768,7.548514,7.857222,7.871936,7.737024,7.652723,7.89089,7.403464,7.407404
waaZ,7.18153,7.346673,7.027309,7.125403,7.049663,6.974197,7.466032,7.358686,7.061679
wbbH,7.012435,7.339396,7.835413,7.783352,7.562761,7.07337,7.254518,6.186085,6.728233
wcaG,5.325674,5.245267,5.214591,5.059139,5.1534,5.253536,5.570129,5.787432,6.026955
wcaH,5.220407,5.124204,5.450551,5.382667,5.502458,5.892731,5.235421,5.782933,5.882472
wcaN,9.788332,10.279518,10.953825,10.560247,10.476756,9.884363,8.903554,7.600745,8.973031
wecA,7.014054,6.970255,7.505653,7.171387,6.925833,6.852373,6.825836,6.808578,6.79012
wecB,6.887988,6.932687,7.591305,7.177091,7.012625,6.62252,6.781609,6.615299,6.736307
wecC,7.052264,7.134704,7.720908,7.352485,7.18933,6.789599,7.035745,6.641835,6.843456
wecD,5.792257,5.26937,5.582285,5.651052,5.658269,5.351558,6.083384,6.447943,6.301478
wecE,5.892245,5.693041,5.634506,5.854644,5.816472,5.840866,6.341897,6.421442,6.110656
wecF,5.970831,5.946988,5.976616,6.132207,6.208478,5.983837,6.302356,6.515763,6.311975
wecG,6.059788,5.76458,5.969726,5.760354,6.135453,5.846117,6.3614,6.409442,6.190457
wzxB,7.649163,8.085249,8.674362,8.012015,8.088099,7.417304,7.337988,6.542243,6.744417
wzzB,7.572912,7.659475,8.382352,8.038403,8.058939,7.54839,6.776104,6.288986,6.612279
yadV,5.537079,5.434495,5.528603,5.263936,4.993357,5.379967,5.995055,6.097337,5.460644
yaiC,6.229088,6.130684,5.606413,6.079207,5.723695,6.299226,5.990161,6.357218,6.047517
ybdG,6.432926,6.371472,6.308885,6.042666,6.086083,6.289115,6.05641,6.380799,6.101671
ybfK,5.412578,5.077371,5.107395,3.421156,3.573617,5.302392,4.854993,5.675505,4.649213
yciY,9.107175,9.558405,10.669337,10.34854,10.210099,9.395367,10.372593,7.925626,9.27962
yciZ,8.507775,8.983424,9.440477,8.729267,8.669952,7.844128,8.319324,6.793766,7.90805
ydgU,4.320557,4.304657,4.48665,3.162693,2.3749,4.964399,4.997021,5.098748,5.30772
yjbS,5.799813,5.872558,4.732052,4.850099,4.837237,5.343159,6.015404,6.646739,5.700551
yjbT,5.559369,5.537482,5.109904,5.275082,4.90665,4.864087,5.743515,6.310467,5.295062
yjdP,6.143312,6.353182,5.780704,6.197512,6.421779,6.075404,6.514517,6.752588,6.719977
ykfM,4.925192,5.219749,4.988048,5.333674,4.69566,4.899514,5.563036,5.908092,5.386121
ykgR,5.581743,5.117321,5.550316,4.580688,5.720388,6.219749,6.589853,5.907083,5.14751
ylcH,5.635087,4.896998,5.799087,5.145433,4.747495,5.633518,6.060523,5.574858,4.78115
ylcI,5.871548,6.175285,5.973083,4.592816,5.73628,6.109528,5.444766,5.818467,5.727185
ymgI,5.653605,6.277538,6.113617,5.497101,5.847972,5.277948,4.925335,5.263598,4.648178
ymgJ,5.365343,5.332135,4.413662,4.245115,4.382321,5.532504,5.063805,5.189666,4.555877
ynbG,4.358326,4.972279,4.117363,3.771463,4.480071,4.568519,5.659097,4.806633,3.490185
yncL,7.781996,7.887519,8.320124,11.020286,10.882528,10.051359,10.342608,8.285042,8.98392
yneM,5.931778,6.090811,5.790485,5.230472,5.234118,5.875117,6.361084,5.774524,6.318769
ynhF,6.590797,7.705577,7.935961,8.759838,8.757683,8.476268,9.241843,8.479279,8.311984
yoaD,5.57507,5.536892,5.558635,5.088057,5.441384,5.674687,5.427673,5.533065,5.772493
yoaJ,4.763624,5.257388,4.33564,3.60134,5.650793,5.185272,3.467149,5.077072,3.946169
yoaK,4.94167,4.938615,5.841395,4.891711,3.01899,5.344402,5.192194,5.313717,5.342804
