Genes,BB9,BB10,BB17,BB19,BB20,BB21,BB11,BB12,BB18
napA,5.566937,5.67415,5.357728,5.354029,5.604664,5.913943,5.529727,5.895787,5.857881
napB,5.265812,5.448339,4.547758,5.180586,5.406843,5.900118,5.722001,5.833548,5.659554
napC,5.869304,5.719101,5.29245,5.796416,5.840136,5.665393,5.783299,6.117799,5.48935
napD,5.339387,5.068714,5.104043,4.609578,4.823342,5.253649,5.005175,5.581261,5.299721
napF,5.6455,5.632995,5.277985,5.824895,5.799942,5.977394,5.880514,6.107081,5.746501
napG,5.085425,4.999098,4.537979,4.920436,5.272359,5.742922,5.246902,5.626468,5.850299
napH,5.438692,5.278245,5.349542,5.192825,5.302685,5.841923,5.73582,5.906025,5.554006
narG,5.457069,5.196332,4.812652,5.223616,5.173447,5.433694,5.048977,5.151656,5.029144
narH,5.285846,5.368384,5.356883,5.422872,5.400948,5.337604,5.164183,5.214747,5.181778
narI,5.406809,5.138855,5.083426,4.652314,5.073906,4.903617,4.830154,5.093983,4.833092
narJ,5.096135,5.18844,4.408984,4.499272,4.84313,5.216843,4.788894,5.029409,5.007599
narK,5.410816,5.578305,4.834408,5.1327,5.107646,5.29326,5.22149,5.23431,4.95401
narL,6.0025,5.890471,6.52671,6.923042,6.888877,6.178496,5.700107,5.446124,5.478648
narP,6.504716,6.559232,6.528978,6.374692,6.609031,6.575524,6.125486,5.968229,6.29598
narQ,5.932156,5.939955,5.984111,5.574404,5.667693,5.835394,5.848498,6.173967,5.75665
narU,5.791554,5.748434,5.472228,5.676719,5.625417,6.133358,5.716881,6.06022,6.018345
narV,5.321567,5.576069,4.971865,5.258783,5.011093,5.901929,5.133194,5.767655,5.749052
narW,5.604813,5.280808,5.112909,5.418325,4.980665,5.541979,5.378026,5.782644,5.728791
narX,5.586705,5.448042,5.772519,5.574919,5.539376,5.311757,5.358291,5.202339,5.290019
narY,5.617798,5.696634,5.185906,5.602142,5.251984,5.812267,5.339708,5.965692,5.700162
narZ,5.673669,5.581231,5.31857,5.904484,6.144903,6.184717,5.505605,5.889108,6.008003
ndh,6.998557,7.033269,7.113242,6.113325,5.973956,5.902025,5.723395,5.473754,5.856762
nei,5.772308,5.493391,4.832232,5.065357,5.292487,5.364923,5.405346,5.441517,5.372813
nemA,5.784425,5.599794,5.53568,5.678297,6.051981,5.967653,5.594877,5.651884,5.826548
nemR,5.853621,5.696578,5.886867,5.803485,5.787223,5.772282,5.6963,5.77989,5.422569
nepI,6.656582,6.576386,5.961878,6.378425,6.176303,6.771054,6.862327,7.124225,6.951425
nfi,5.779522,5.291419,6.11975,6.54654,6.840174,6.049805,6.013775,6.007554,5.574465
nfo,8.329195,8.578573,9.10046,9.447957,9.363563,8.804383,8.93305,7.648207,8.529559
nfrA,6.19928,6.222708,5.94289,6.100074,5.968943,6.318082,6.055174,6.253781,6.087378
nfrB,6.138159,6.247852,5.767125,6.039818,5.931565,6.314225,5.982081,6.363767,5.862427
nfsA,7.194343,7.230885,7.613576,7.235775,7.401545,6.518047,6.720511,6.084341,6.710517
nfsB,8.268462,8.65499,9.521534,8.483179,8.464591,7.908339,7.994501,6.978276,7.922061
nfuA,8.758287,8.91824,9.653397,9.582454,9.485143,8.510907,8.883257,7.735969,8.60111
nhaA,6.87193,6.716566,6.894078,7.60602,7.479934,7.167659,6.865919,6.623486,6.98715
nhaB,5.81142,5.951961,5.67067,5.525693,5.892197,5.726041,5.157084,5.255538,5.302721
nhaR,7.407149,7.481113,7.662213,8.503631,8.439183,7.816369,7.796974,6.866018,7.415581
nikA,6.694769,6.743569,6.283144,6.358168,6.559889,6.606013,6.843444,7.09262,6.859696
nikB,6.437228,6.389808,6.055131,5.994489,6.130148,6.702879,6.637277,6.923197,6.641084
nikC,6.236665,6.250905,5.867476,5.979454,5.902821,6.205021,6.455097,6.75145,6.509157
nikD,6.223924,6.26922,5.918887,6.007375,6.050654,6.269968,6.304036,6.810867,6.606516
nikE,6.543001,6.743703,6.250431,6.262358,6.108336,6.259969,6.465191,6.914074,6.736848
nikR,8.797814,9.069299,9.55113,8.602573,8.465966,8.194309,8.661361,7.907936,8.613222
ninE,5.388224,5.491436,5.319365,4.967399,5.039182,5.89978,5.121927,5.89586,5.643683
nirB,6.019101,5.993425,5.750312,5.708325,5.877523,6.020302,6.427489,6.554865,6.281828
nirC,5.863393,5.778261,5.22265,5.754727,5.274262,5.87337,6.042579,6.427053,6.334568
nirD,5.679677,5.383601,4.77663,4.730314,5.672878,5.675421,6.205529,6.335015,6.282847
nlpA,6.721427,6.967111,6.350868,6.793662,6.818557,7.044656,7.096051,7.41597,7.328334
nlpC,5.505954,5.6524,6.061236,6.128809,5.822603,5.847396,5.896853,5.524785,5.450155
nlpD,8.324743,8.335024,8.73046,9.392006,9.374431,8.534661,8.8705,7.332905,8.376351
nlpE,5.556307,5.281068,5.887525,6.629021,6.573465,6.210019,5.871129,5.837716,5.530851
nlpI,6.865981,7.03426,7.350754,8.035816,7.989599,7.518858,7.752976,6.922852,7.370208
nohD,6.764288,6.977658,6.153542,6.32081,6.121119,7.116729,6.874883,7.057732,6.883401
norR,5.80962,5.628365,5.161726,5.415522,5.510171,5.715948,5.77989,6.019924,6.177021
norV,5.979294,5.839531,5.417177,5.776867,5.961322,6.164987,5.832814,6.270043,6.061366
norW,5.881885,5.74303,5.390014,5.291088,5.285217,6.079954,5.556123,6.369798,6.155931
npr,5.796572,5.668346,5.432225,5.570038,6.114429,6.008966,6.099043,6.263316,5.686164
nrdD,7.233668,7.344793,7.755382,7.592218,7.606346,7.211528,7.516504,7.004007,7.382244
nrdE,6.154048,6.05942,6.611674,5.595504,5.400504,5.444601,6.25882,6.1609,6.345556
nrdF,5.957218,6.109632,6.507129,5.563402,5.554006,5.722575,6.110697,6.137135,6.078503
nrdG,6.657654,6.344509,6.306645,6.143557,6.274187,6.618709,6.770248,6.803253,6.38924
nrdR,7.577127,7.675562,8.276376,7.714273,7.855329,7.378399,7.031539,6.605198,7.030369
nrfA,6.330917,6.309522,5.999481,6.316562,6.179332,6.567834,6.323658,6.668998,6.509157
nrfB,5.956638,6.141882,5.574253,5.606738,5.493231,5.35357,5.972555,6.716278,6.328424
nrfC,6.033753,5.699191,5.118277,5.561876,5.619208,5.916715,5.915832,6.410019,6.368768
nrfD,6.228992,6.147999,5.765323,5.793454,5.580748,5.928939,6.094975,6.487936,6.409629
nrfE,5.908501,5.866488,5.659953,5.59777,5.484783,5.937839,6.051568,6.452398,6.336694
nrfF,6.008944,5.967192,4.66471,5.418325,5.415353,5.677536,5.647142,6.431757,6.106767
nrfG,6.019902,5.978104,5.391836,5.634855,5.307028,5.629706,6.038392,6.411104,6.393502
nsrR,6.534404,6.66616,6.641358,7.044143,7.476544,6.886087,7.15055,6.968125,7.009358
nth,5.793792,5.942139,6.305168,5.756436,5.857011,5.91903,5.492462,5.877622,5.79158
nudC,6.288488,6.035646,7.157792,8.178834,7.894703,7.330558,6.79478,6.401818,6.928524
nudE,7.000169,6.96123,7.091033,7.928903,7.836593,7.342092,7.355007,6.981293,7.306417
nudF,6.389446,6.307975,6.573511,6.450287,6.510392,6.523985,6.40861,6.769031,6.819719
nudG,5.897628,5.894017,5.855118,5.550223,5.217502,5.803873,5.247168,5.299574,5.545505
nudI,5.974919,5.6125,6.09959,5.976341,5.867452,5.888378,6.419674,5.784923,5.657754
nudJ,5.967791,5.722138,5.60021,5.659297,5.792673,5.482429,5.38619,5.430988,5.360048
nudK,5.939297,6.088184,5.774128,5.522119,5.665791,6.265324,5.726613,6.318263,6.049152
nudL,5.707635,5.834054,6.083384,6.43781,6.567637,6.078119,5.925738,5.608395,5.896732
nuoA,9.613355,9.633853,10.477485,10.072896,9.849701,9.183159,9.086322,7.480112,8.886739
nuoB,9.812615,9.702107,10.157461,9.164842,9.204224,8.131867,7.552531,6.711454,8.226831
nuoE,9.270914,9.619668,10.273539,9.763682,9.653184,8.725063,8.411367,6.938627,8.454604
nuoF,9.676324,9.678796,10.171477,9.617846,9.605911,8.302717,8.143873,6.703987,8.256907
nuoG,9.917824,10.02868,10.743034,10.179262,10.104926,8.933283,9.038313,7.145249,8.746605
nuoH,7.360505,7.22513,7.660032,7.26403,7.21034,6.747105,6.455081,5.938239,6.74113
nuoI,8.527641,8.473097,8.965758,8.540454,8.502884,7.717827,7.505915,6.302502,7.768198
nuoJ,9.583747,9.780061,10.416861,9.760846,9.715446,8.601882,8.385086,6.980345,8.424456
nuoL,7.584128,7.494112,7.871271,7.570554,7.435779,6.70281,6.595414,5.921246,6.612279
nuoM,9.867665,9.82529,10.244804,9.843805,9.65494,8.572863,8.552915,6.84274,8.190323
nuoN,6.368699,6.408831,6.579648,6.783889,6.751504,6.248402,6.300892,5.733707,6.180904
nupC,6.769719,6.766065,7.365561,7.391587,7.299803,6.953766,6.240772,6.092482,6.396331
nupG,6.714355,6.853771,6.720894,6.361084,6.245077,6.605628,7.362005,6.908044,6.524393
ogrK,9.306645,9.290226,9.96812,9.722232,9.416941,8.938015,8.992324,7.48446,8.545675
ogt,6.173627,5.92353,6.644188,6.538305,6.377419,6.320792,5.740631,5.678861,5.759182
ompG,5.686276,5.818288,5.409527,4.877548,5.143924,5.603834,5.138814,5.793584,5.842426
ompL,5.634245,5.414744,4.752856,5.098706,4.998196,5.385189,6.152853,6.454817,5.6309
ompN,5.83754,5.518881,5.228472,5.1122,4.958193,5.992746,5.440554,5.958216,5.680493
ompR,7.706648,7.670777,8.266107,8.571195,8.384395,7.828359,7.946953,6.936767,7.487695
ompW,5.948274,6.010153,5.819336,5.707111,6.096494,5.404324,5.403268,5.370443,5.511595
ompX,9.286683,9.450634,10.487629,10.584559,10.293322,9.73485,8.70115,7.122124,8.272532
opgB,7.468624,7.661315,8.320209,7.470732,7.425208,7.033819,7.747058,7.051916,7.238271
opgC,6.704803,6.855666,6.999267,6.286049,6.31591,5.837893,5.564561,5.644808,5.491629
opgD,6.189548,6.40951,6.432876,6.028105,5.93579,6.047647,5.97391,6.069616,5.846694
opgG,7.670784,7.907275,8.745231,8.310567,8.197929,7.506335,6.755061,5.873272,6.450865
opgH,6.210155,6.342821,6.572905,6.258933,6.373596,5.861682,5.709677,5.451376,5.561051
oppB,6.69212,6.699093,7.314986,7.982663,7.981093,7.514012,6.866352,5.973083,7.128696
oppF,6.994896,7.14747,7.468877,8.507921,8.485117,7.758237,7.369719,6.081148,7.212997
osmB,5.577761,6.149747,6.274299,7.923678,7.793317,7.249957,6.134981,5.670132,5.836656
osmC,6.53888,6.4979,6.493855,8.779778,8.980065,8.339494,8.218515,6.892221,7.583512
osmF,5.538849,5.625884,4.971681,6.514785,6.2962,6.316218,6.046644,6.058143,5.797298
otsA,5.920222,5.770512,5.46943,8.692281,8.758027,8.013077,6.966419,6.21595,6.842891
otsB,6.170806,6.20551,6.282032,10.020383,9.95556,9.035552,7.998934,6.710159,7.677994
oxc,5.730531,5.734357,5.533688,5.13344,5.28444,5.715125,5.66249,6.100032,5.718636
oxyR,6.712499,6.45187,7.201693,7.093518,7.030038,6.343266,6.782841,6.190891,6.799592
paaA,5.715976,5.539872,5.691702,5.690836,5.621173,6.031064,7.406273,6.241421,6.173867
paaB,5.473657,5.508524,4.982355,5.316978,6.103917,5.651884,5.508746,5.639087,5.651511
paaD,5.629794,5.649472,4.848898,5.423948,5.154089,5.344154,5.242641,5.617563,5.516393
paaE,5.555632,5.417414,5.018545,5.41964,5.679367,5.783561,5.432425,5.879951,5.586825
paaF,5.568944,5.519322,5.274895,5.396125,5.63732,5.660495,5.68437,5.75007,5.853771
paaG,5.65844,5.604842,5.060912,4.937439,5.038875,5.67285,5.12031,5.871942,5.92127
paaH,5.729172,5.560776,5.437394,5.836757,5.034436,5.588205,5.531569,5.804234,5.649817
paaI,5.403131,5.736848,5.130396,4.991136,5.248003,5.199044,4.854993,5.793037,5.574102
paaJ,5.738011,5.696161,5.633257,6.028414,6.092207,6.391493,6.797428,6.127798,6.097021
paaK,5.741494,5.804751,5.267423,5.616387,5.471285,5.855566,5.604427,6.067531,5.836656
paaZ,5.743353,5.418527,5.470927,5.097232,4.985774,5.597799,5.296641,5.828657,5.785472
pabA,5.851874,5.893022,5.581743,5.578909,5.912746,5.726967,6.552854,6.519856,5.961971
pabB,6.159992,6.27858,6.212978,6.369589,6.226065,6.008294,5.738038,5.730178,5.87875
pabC,5.262997,5.438359,4.879265,5.07861,5.61418,5.238519,4.983267,5.389119,5.268135
pagP,6.001577,6.074677,4.915712,5.199044,5.667977,5.772994,5.694908,6.014824,5.8299
pal,8.00549,7.882282,8.891522,8.626709,8.547993,7.37417,7.312946,5.943312,7.004086
panB,7.831947,8.052372,8.766569,8.417148,8.384313,7.723197,7.842872,6.589928,7.924052
panC,6.317214,6.386294,6.591679,6.466774,6.734384,6.214649,6.479748,6.17722,6.418443
panD,9.458493,9.577391,10.337544,9.492011,9.424939,8.64333,8.42988,6.969991,8.436491
panE,6.42383,6.695729,6.850749,6.492206,6.384257,6.503078,6.446438,6.389997,6.269744
panF,5.88022,5.614798,5.670585,5.9348,5.772282,5.904123,6.160739,5.950118,6.214144
paoA,5.717951,5.847521,5.258783,5.806298,5.76203,5.989661,5.887257,6.409068,6.499814
paoC,5.940848,5.655867,5.444435,5.948951,5.787171,6.114075,5.941458,6.311539,6.21787
paoD,5.781806,5.607537,5.579301,5.474631,5.564012,6.085701,5.838725,6.28858,6.190062
patA,6.322848,6.34802,5.990478,6.62129,6.402552,6.725891,7.010992,6.774537,6.958588
pbpC,5.607271,5.582586,5.260666,5.271612,5.460546,5.785969,5.570797,5.708022,5.502776
pbpG,6.042994,5.99562,6.153643,5.706227,6.028459,6.121803,5.811522,6.063783,5.943453
pck,9.281204,9.338204,10.03907,10.450273,10.295585,9.504005,9.78754,8.234468,9.428287
pcm,6.302831,6.373613,6.444336,6.250488,6.2458,6.327616,6.219691,6.452711,6.189469
pcnB,8.540178,8.737808,9.556927,9.082982,8.843598,7.96538,7.595921,6.605968,7.658569
pdhR,8.776719,8.835555,8.997496,7.785825,7.777354,6.868366,7.552339,6.77588,7.997383
pdxA,9.032652,9.193025,9.92831,9.6196,9.357836,8.709039,8.897334,7.591799,8.844721
pdxB,6.72875,6.701466,7.179859,6.328047,6.563402,6.226509,6.098643,5.875706,6.159387
pdxH,6.585203,6.751464,7.22854,7.12754,6.808449,6.723463,6.127097,5.811317,6.169083
pdxK,6.732934,6.682784,7.213299,6.824641,6.68024,6.76915,6.458923,6.111052,6.476122
pdxY,6.442114,6.406384,7.011954,5.892197,5.892804,5.894672,6.052851,5.710338,5.979339
pepA,7.473998,7.518142,7.857745,8.062753,8.185262,7.832612,7.794598,6.913404,7.441641
pepB,6.071269,5.838876,6.212239,5.999346,5.870981,5.916477,5.947456,5.837413,6.204004
pepD,8.630635,8.833874,9.543426,9.450347,9.278398,8.49936,8.362369,6.995281,7.883444
pepE,6.46679,6.43194,6.2791,6.434028,6.331275,5.962827,6.747065,6.403012,6.458644
pepN,8.57761,8.734198,9.485576,9.923862,9.84931,9.025533,8.389124,6.812485,8.008434
pepQ,7.190447,7.024364,7.600039,8.425266,8.28506,7.473438,7.621297,6.631759,7.285513
pepT,5.584301,5.717265,5.634622,6.691869,6.591784,6.497245,5.506907,5.558421,5.76296
perR,6.618591,6.757717,7.096367,6.707649,6.42262,6.545536,6.461103,6.547465,6.170746
pfkA,8.039451,8.084665,8.618257,9.036819,9.10842,8.62908,7.801741,7.125341,7.81167
pfkB,6.116386,5.921698,6.491693,7.621869,7.920591,7.359987,6.23567,5.861062,6.438409
pflA,6.168341,6.109737,6.669055,6.403268,6.305277,6.029254,5.844135,5.733815,5.886867
pflC,5.45628,5.059788,5.119896,5.213736,5.263523,5.140001,5.872755,6.092038,5.710007
pflD,5.430787,4.909437,4.9824,5.404767,5.306335,5.351134,5.847346,6.200614,5.787014
pgaA,6.335176,6.258067,6.687285,6.464636,6.420651,6.304128,6.208049,5.882252,5.961646
pgaB,5.780599,5.834383,5.219865,5.293738,5.26836,5.616564,5.706834,5.648408,5.512258
pgaC,5.726123,5.709346,5.295099,5.359767,5.47148,5.560929,5.619677,5.645298,5.716031
pgaD,6.291272,6.147815,6.458054,6.582345,6.60625,6.171347,5.728846,5.855292,5.811497
pgl,6.600597,6.825468,6.792179,7.953568,7.742256,7.239751,6.364222,5.931423,6.182593
pgm,6.813396,6.845227,7.067165,6.783064,6.637987,6.224195,6.178097,5.762747,6.12259
