Genes,Controle,Osmoses_2M,Thermal_50C,Acid_PH
Cp1002_1313,1.6763892828617,3.01434636538113,2.41954428475619,2.22799977677491
Cp1002_0720,1.68505206282797,3.97536421874438,1.39923673153231,2.6221572714835
Cp1002_1158,1.68519114263642,2.2304397533577,0.87843186883481,2.36290747027038
pldB1,1.68666635754814,0.806231655949505,1.00681503911634,1.08490785859674
Cp1002_0927,1.69779605574389,2.10199625447686,2.58650535913278,2.41684514525492
menF,1.70537637698648,3.64429470241661,2.65234193135331,2.82717474792236
gluA,1.7178200685898,1.8278474718447,2.16032969796191,1.74209246808125
rluC,1.72100947900369,3.8500792958058,2.79479845473345,2.46712033172288
Cp1002_1459,1.7264301705287,2.71114905890726,1.9993903325439,2.46484859261344
Cp1002_0206,1.72683121703249,2.51729837295335,2.65344070991963,2.97072483653238
mhpC,1.76099159757997,2.3309455525137,2.0511702147072,3.5392829085698
abgT,1.76293555531502,2.18602824492413,1.6302144042548,2.3560649106828
gluC,1.76629408300313,3.78112886384965,3.55102375624274,3.19332861818491
ykoD,1.79082624214872,2.30428615076404,1.95052813638267,2.68919626698789
Cp1002_0193,1.81589508155347,2.56279924283878,2.69204549405331,2.63534113866551
Cp1002_1938,1.81993381110276,2.22443239188028,1.7996178549596,1.97350841899203
trpB,1.83599277238257,1.91693135610909,2.20477300962169,3.35189541778188
Cp1002_0616,1.83660686912915,2.94227239375952,1.70795762282338,2.27123441966593
Cp1002_1894,1.83749926741733,1.81851111141669,2.9518954722957,1.54743502207132
lysA,1.85762276430072,1.41911815647583,1.50652577904312,1.42002959402976
Cp1002_0408,1.86069667402285,3.01468557519566,3.13823616119615,1.27597845299987
yceI,1.89080464676906,3.38908766934896,3.23167201847492,2.15034520596636
acsA,1.89867272687207,1.14923985190903,1.68164266119599,2.3026758416871
ino1,1.92266217681978,1.8162228569122,1.90736756791363,3.08990147958187
radA,1.9288591929827,2.42484148847096,1.91161489172556,2.16467044605931
holA,1.94209782299382,3.40267579596449,2.38079870063561,2.45725544329121
rbsR,1.99540491971387,2.27577588251979,2.23839250980535,2.68793186682397
uvrA,1.99927486353615,2.16490853525463,1.71983617529125,2.18387393364151
Cp1002_1939,2.00240008972239,1.7284342891304,1.7214251599332,2.07760875438811
oppCD1,2.01007084665879,1.78822213643326,2.20514536929783,2.55489577541901
lcfA1,2.01941014389668,2.31930866954546,2.26567692517217,2.71671878633452
